ds,y
2024-04-13 01:07:43.700374,223
2024-04-13 01:11:53.700374,198
2024-04-13 01:16:03.700374,204
2024-04-13 01:20:13.700374,202
2024-04-13 01:24:23.700374,195
2024-04-13 01:28:33.700374,204
2024-04-13 01:32:43.700374,194
2024-04-13 01:36:53.700374,203
2024-04-13 01:41:03.700374,194
2024-04-13 01:45:13.700374,204
2024-04-13 01:49:23.700374,210
2024-04-13 01:53:33.700374,205
2024-04-13 01:57:43.700374,196
2024-04-13 02:01:53.700374,201
2024-04-13 02:06:03.700374,196
2024-04-13 02:10:13.700374,201
2024-04-13 02:14:23.700374,197
2024-04-13 02:18:33.700374,202
2024-04-13 02:22:43.700374,196
2024-04-13 02:26:53.700374,211
2024-04-13 02:31:03.700374,202
2024-04-13 02:35:13.700374,208
2024-04-13 02:39:23.700374,207
2024-04-13 02:43:33.700374,194
2024-04-13 02:47:43.700374,209
2024-04-13 02:51:53.700374,193
2024-04-13 02:56:03.700374,194
2024-04-13 03:00:13.700374,205
2024-04-13 03:04:23.700374,203
2024-04-13 03:08:33.700374,194
2024-04-13 03:12:43.700374,203
2024-04-13 03:16:53.700374,213
2024-04-13 03:21:03.700374,202
2024-04-13 03:25:13.700374,196
2024-04-13 03:29:23.700374,194
2024-04-13 03:33:33.700374,194
2024-04-13 03:37:43.700374,198
2024-04-13 03:41:53.700374,191
2024-04-13 03:46:03.700374,192
2024-04-13 03:50:13.700374,190
2024-04-13 03:54:23.700374,178
2024-04-13 03:58:33.700374,168
2024-04-13 04:02:43.700374,193
2024-04-13 04:06:53.700374,179
2024-04-13 04:11:03.700374,187
2024-04-13 04:15:13.700374,189
2024-04-13 04:19:23.700374,197
2024-04-13 04:23:33.700374,169
2024-04-13 04:27:43.700374,185
2024-04-13 04:31:53.700374,202
2024-04-13 04:36:03.700374,186
2024-04-13 04:40:13.700374,203
2024-04-13 04:44:23.700374,209
2024-04-13 04:48:33.700374,198
2024-04-13 04:52:43.700374,215
2024-04-13 04:56:53.700374,202
2024-04-13 05:01:03.700374,186
2024-04-13 05:05:13.700374,203
2024-04-13 05:09:23.700374,188
2024-04-13 05:13:33.700374,189
2024-04-13 05:17:43.700374,176
2024-04-13 05:21:53.700374,219
2024-04-13 05:26:03.700374,185
2024-04-13 05:30:13.700374,195
2024-04-13 05:34:23.700374,185
2024-04-13 05:38:33.700374,164
2024-04-13 05:42:43.700374,179
2024-04-13 05:46:53.700374,178
2024-04-13 05:51:03.700374,174
2024-04-13 05:55:13.700374,198
2024-04-13 05:59:23.700374,190
2024-04-13 06:03:33.700374,191
2024-04-13 06:07:43.700374,200
2024-04-13 06:11:53.700374,183
2024-04-13 06:16:03.700374,173
2024-04-13 06:20:13.700374,206
2024-04-13 06:24:23.700374,190
2024-04-13 06:28:33.700374,193
2024-04-13 06:32:43.700374,186
2024-04-13 06:36:53.700374,174
2024-04-13 06:41:03.700374,197
